contentID,URL,headline,author,cmsCategories,nl_category_structured,nl_category,,,,705
www.arkansasonline.com/news/2018/jul/18/former-kark-reporter-rejoin-station-weekend-anchor/,https://www.arkansasonline.com/news/2018/jul/18/former-kark-reporter-rejoin-station-weekend-anchor/,Former Little Rock TV reporter to rejoin station as weekend anchor,Maggie McNeary,"/News, /News/Arkansas",/Arts & Entertainment,/Arts & Entertainment,,,,
www.arkansasonline.com/news/2018/sep/13/arkansas-college-football-rex-nelsons-picks-weeken/,https://www.arkansasonline.com/news/2018/sep/13/arkansas-college-football-rex-nelsons-picks-weeken/,ARKANSAS COLLEGE FOOTBALL: Rex Nelson's picks in this weekend's games,Rex Nelson,/Sports/College/Football,,,,,,
www.arkansasonline.com/news/2018/jul/28/trump-is-invited-to-moscow-putin-says-2/,https://www.arkansasonline.com/news/2018/jul/28/trump-is-invited-to-moscow-putin-says-2/,"Trump is invited to Moscow, Putin says",Compiled by Democrat-Gazette staff from wire reports,"/News/National, /News/Politics/National, /News/Trump, /News/World",,,,,,
www.arkansasonline.com/news/2018/aug/30/lr-man-arrested-after-house-is-shot-air/,https://www.arkansasonline.com/news/2018/aug/30/lr-man-arrested-after-house-is-shot-air/,Police beat,Clara Turnage,"/News/Arkansas, /News/Arkansas/Crime",,,,,,
www.arkansasonline.com/news/2018/sep/10/softball-coach-given-probation-sex-case/,https://www.arkansasonline.com/news/2018/sep/10/softball-coach-given-probation-sex-case/,Arkansas man given probation in sex case involving 15-year-old he met while coaching softball,LYNN LAROWE TEXARKANA GAZETTE,"/News/Arkansas, /News/Arkansas/Crime",,,,,,
www.arkansasonline.com/news/2018/sep/23/the-last-column-i-promise-20180923/,https://www.arkansasonline.com/news/2018/sep/23/the-last-column-i-promise-20180923/,The last column (I promise!),Paul Greenberg,"/Editorial, /Editorial/Columns, /Editorial/Columns/Local",/Books & Literature,/Books & Literature,,,,
www.arkansasonline.com/news/2018/jul/04/dear-abby-disapproving-son-tries-to-put/,https://www.arkansasonline.com/news/2018/jul/04/dear-abby-disapproving-son-tries-to-put/,DEAR ABBY: Disapproving son tries to put an end to mother's romance,Abigail Van Buren,"/Entertainment/Features, /Entertainment/Features/Northwest, /Features/Columnists/Dear-Abby",,,,,,
www.arkansasonline.com/news/2018/aug/19/lonoke-apartment-fire-claims-life-of-1-/,https://www.arkansasonline.com/news/2018/aug/19/lonoke-apartment-fire-claims-life-of-1-/,Fire at central Arkansas apartment complex claims life of 1 person,Arkansas Democrat-Gazette,/News/Arkansas,,,,,,
www.arkansasonline.com/news/2018/aug/31/long-jumper-who-won-3-ncaa-championships-ua-2016-t/,https://www.arkansasonline.com/news/2018/aug/31/long-jumper-who-won-3-ncaa-championships-ua-2016-t/,Long jumper who won 3 NCAA championships for UA in 2016 tests positive for steroid,The Associated Press ,/Sports/Pros,,,,,,
www.arkansasonline.com/news/2018/aug/13/dear-abby-girlfriend-questions-texting-/,https://www.arkansasonline.com/news/2018/aug/13/dear-abby-girlfriend-questions-texting-/,DEAR ABBY: Girlfriend questions texting from boyfriend's worried mom,Abigail Van Buren,"/Entertainment/Features, /Entertainment/Features/Northwest, /Features/Columnists/Dear-Abby",,,,,,
www.arkansasonline.com/news/2018/aug/02/free-after-25-years-lr-man-latest-kille/,https://www.arkansasonline.com/news/2018/aug/02/free-after-25-years-lr-man-latest-kille/,"Free after 25 years, LR man latest killer-as-teen to have life term cut",John Lynch,"/News/Arkansas, /News/Arkansas/Crime",,,,,,
www.arkansasonline.com/news/2018/jul/25/gop-lawmakers-introduce-articles-impeachment-again/,https://www.arkansasonline.com/news/2018/jul/25/gop-lawmakers-introduce-articles-impeachment-again/,House Republicans move to impeach deputy attorney general,The Associated Press ,"/News/National, /News/Politics/National","/News/Politics, /Law & Government/Government","/News/Politics, /Law & Government/Government",,,,
