contentID,lag,min,max,count
www.arkansasonline.com/news/2018/jul/03/griffen-s-lawsuit-rejected-by-panel-201/,34,2018-07-03,2018-08-06,48
www.arkansasonline.com/news/2018/mar/08/marketer-for-uca-faces-new-complaint-20-1/,34,2018-07-12,2018-08-15,28
www.arkansasonline.com/news/2018/jul/27/capital-murder-suspect-arrested-malvern-womans-dis/,34,2018-07-27,2018-08-30,36
www.arkansasonline.com/news/2018/apr/27/state-police-identify-2-people-killed-crash-inters/,34,2018-07-04,2018-08-07,7
www.arkansasonline.com/news/2018/may/14/shot-fired-ground-little-rock-lot-during-confronta/,33,2018-07-06,2018-08-08,8
www.arkansasonline.com/news/2018/jul/22/those-ridiculous-rankings-20180722/,33,2018-07-22,2018-08-24,37
www.arkansasonline.com/news/2018/jul/19/lr-venue-to-show-book-of-mormon-2018071/,33,2018-07-19,2018-08-21,9
www.arkansasonline.com/news/2017/aug/04/little-rock-food-truck-owner-accused-killing-girlf/,33,2018-07-10,2018-08-12,7
www.arkansasonline.com/news/2018/mar/07/uca-s-marketing-chief-criticized-for-si-1/,33,2018-07-09,2018-08-11,9
www.arkansasonline.com/news/2018/mar/07/arkansas-woman-pleads-guilty-burning-3-year-old-so/,33,2018-07-06,2018-08-08,2
www.arkansasonline.com/news/2018/may/15/sheriffs-office-mayor-central-arkansas-city-member/,33,2018-07-06,2018-08-08,21
www.arkansasonline.com/news/2018/jul/12/sports-page-breakfast-rises-shines-2018/,33,2018-07-12,2018-08-14,26
www.arkansasonline.com/news/2017/oct/03/school-district-starts-on-gryphons-home/,33,2018-07-13,2018-08-15,2
www.arkansasonline.com/news/2018/may/14/search-ongoing-after-girl-swept-river-arkansas-aut/,33,2018-07-06,2018-08-08,13
www.arkansasonline.com/news/2018/may/03/jury-takes-15-minutes-give-arkansas-man-maximum-se/,33,2018-07-07,2018-08-09,6
www.arkansasonline.com/news/2018/may/24/arkansas-symphony-orchestra-director-stepping-down/,33,2018-07-04,2018-08-06,6
www.arkansasonline.com/news/2018/may/02/ex-hogs-rb-sues-for-unpaid-policy-20180/,33,2018-07-10,2018-08-12,13
www.arkansasonline.com/news/2018/jul/18/he-just-can-t-help-it-20180718/,32,2018-07-18,2018-08-19,117
